match_id,kills_diff,deaths_diff,assists_diff,gold_diff,damage_diff,damage_taken_diff,cs_diff,vision_diff,mean_kda_diff,team_kda_diff,win_blue
RU_535317400,-22,22,-23,-14400,-7200,-17887,-104,-20,-4.161904761904762,-3.9743589743589745,0
RU_535317895,-16,16,-19,-10789,-14783,6967,-58,-27,-7.101904761904762,-4.607692307692307,0
RU_535318030,14,-14,18,10421,43026,-33882,13,13,3.1515873015873015,3.581609195402299,1
RU_535318443,-5,5,12,-3393,-17977,4794,-12,-13,-0.16142857142857148,-0.15108401084010836,0
RU_535320331,-11,11,-20,-7014,-10962,7259,-84,-4,-5.238412698412698,-2.1800595238095237,0
RU_535320450,17,-18,14,8794,43608,-26247,-114,31,2.4011111111111108,2.3909090909090907,1
RU_535321588,-17,17,-24,-15460,-33859,38123,-8,22,-7.111255411255412,-3.7058823529411766,0
RU_535322712,15,-16,28,10763,36329,-40413,57,-1,2.9553463203463206,2.5473170731707313,1
RU_535324399,1,-1,29,4219,953,-4008,19,-9,0.6266089466089464,0.6808510638297873,1
RU_535325126,9,-9,27,1399,27954,-31957,28,0,1.2641452991452986,1.1732418524871355,1
RU_535325891,19,-19,24,12301,36446,-28581,48,-7,6.761190476190477,4.010714285714286,1
RU_535327104,-6,6,-6,-9356,-20831,4095,4,-45,-1.5350000000000001,-0.8282828282828281,0
RU_535329759,-14,14,-47,-7006,-24351,15242,-37,-9,-4.287857142857144,-3.507638072855464,0
RU_535330025,-10,12,20,-5311,4426,-34703,202,-13,-0.7427272727272731,-0.2857142857142858,0
RU_535330517,14,-14,7,6075,22332,-14945,80,-7,4.343549783549784,2.017361111111111,1
RU_535330961,-16,16,-19,-12381,-39624,11013,-46,-34,-4.604545454545455,-3.40625,0
RU_535331646,-11,11,-13,-7228,-7009,1036,-27,11,-4.203333333333332,-3.0760869565217392,0
RU_535332877,0,0,0,146,-221,253,3,0,0.0,0.0,1
RU_535333032,-6,7,-26,-3328,-18617,12206,14,-19,-1.9576984126984127,-1.5285714285714287,0
RU_535333340,0,0,0,787,-225,1447,-1,0,0.0,0.0,1
RU_535334566,-22,22,-32,-17232,-16786,3697,-150,-45,-2.954755244755245,-2.871428571428571,0
RU_535335469,13,-13,13,5676,-1403,9006,17,13,2.240555555555555,1.54375,1
RU_535336029,-26,25,-46,-4539,-36299,46514,45,-19,-6.504761904761906,-5.300304878048781,0
RU_535336234,1,-1,1,1664,-332,1790,10,3,0.4,2.0,1
RU_535336884,11,-11,6,4395,17477,-17985,83,-16,2.735238095238095,2.092307692307692,1
RU_535336897,13,-13,1,485,-3577,22132,-16,10,2.7527705627705625,1.0037837837837837,1
RU_535338037,-8,8,-22,-7003,-10561,-1667,16,-1,-2.396349206349206,-1.8484848484848484,0
RU_535338158,18,-18,24,5080,9008,-8030,-86,-11,7.0285714285714285,6.461538461538462,1
RU_535338260,18,-18,16,7478,51384,-31894,-86,29,5.813809523809525,3.866004962779156,1
RU_535338778,-15,15,-6,-1906,-23277,-787,113,-76,-1.4286674436674438,-1.2527308838133067,0
RU_535340569,9,-10,12,9224,12665,-7689,33,-29,1.6995238095238099,1.3885714285714283,1
