gameName,tagLine,puuid,summonerLevel
A S E K K I,SWAG,CCdRnZHwYlLNRx9-SBnfM5iJk_pQyVQFK3dLCgzD8Li-V5RuaGssSAdTxxYT_vh785v87KcErTUPBA,776
S U N D E R,myrk,O5ugG1vR4nz6oGpPScPCboerPnoR13vSnUuPb5apg65rq5C-1jqUot571qbFuEbpa__k_ozbIvoEGg,600
timmy turner,RU1,-niWEqNVD-XuPuh46kRQDMaAotpiF6LyCd3n_FyuQ9BlZSvoHZHV5TaX3hvZxwY75RFvxVT5kojrRQ,587
blessed angel,369,X4V7KHRnhR-Vt4TKjpci5hf94DBem7AkTvj2zPixstiHC2G7Wop6QkfsvST2HfgGvH6SPQvpsh3oEg,208
I Вел Резаж I,Void,qsjMVW1yNtUplmSPQ1rvSNuug604BG2aQ51UiaziwYD_5rBlFMmZwlAsn2qZHN3WRQbIcAxgv44Nhg,727
не расслаблйся,amir1,LBVfLQr8FQ-0y5uMhkU3gEeTFf5YRCFxaIpF1KS9gyIX0u8VPXF30FeLx7HPy0mDB-g-fcKOBLlHVQ,990
Heaven,HuTao,HjQnW4CX9ZyjFOkp_K57IomcX8YYl66p_Jk8e3_SYkySPkLKyOLCUI1Wi4va3e_q10mnQKMpQ_zDRg,466
SojiaBoy,RU1,5SyCc5TI2RthbxIcXKywptuDdfjx1hGCgp_3k9Xog31d9Q0CtL4I3ggnsPqDpGzKXjgmAZ3DQEPOJw,989
Rainy,0025,zeQ_LS4OK--v2lgyffICE6sToz6jO4CktbEdlvER957ZLmi-MQoVCJoHuol5er2taiHRCUKTw4Pivg,94
Horny Rãkãn,woof,PDFQPQQ37I8Zeh2Q56PG1V2AZ5R7L39_l-Pj3vdUIlst8S9h0numKaRNIuPB94GLYehI3Bz3vG2gGQ,616
GIGACHAD SINGED,RU1,jUC_TXg35DG2APFLiD4JDLbSk3BfySx3NSr9al6GBLKDOmQKLTrHTQ4GPYs0k_C2Gg8cbIpO3uQSOw,497
Quksa,5252,IJYX0xwkbBYOz6ilpsByivM75yWeJ1pDt9Q7y8vJK_T3zthMPbrOv8FzgHlwXMf1OkO7_TH-vzMFJA,153
MMM16,RU1,PYvdaoPK4XLp4rft4INx9PVYtIBgSyFUIJ-UUjC2s7qNCNmFA8MYORRxevuN-deAp6cPZAuyEe0KTg,127
SuperPowerBitсh,XXX,zTHReP5eoPJPbJ5cIY0rdoFjDGds663UV8grS2uiBW5hleySKq6RL8uQo3MbprtRgf1CmHFHkrErzw,1168
Можно я с тобой,Стой,D-g6SoEdEnOFjji-Kn7NtuTqVkVACCEGxXizaLwjVc_CnuC8gPzPAvYZbHnvWECH9Ojp9ornfdW7Gw,268
L8 Şpêlløv,ŁÖVÊŞ,kA1dDZhpQvhRhTJ1m2SCis9vwMICIgm-lsHywUBbM11feSqVkPa93BpfIoV6VZbo0MPvI8wlbeTfJw,1161
foot slаve,dom,4wvsRwCg8kbbKhmi73_y8JBoaxublJCvn054DuKU9-ii8ARZMD9z4acgRJOfYUYtQpjClR5XKWtoQA,135
но я люблю тебя,очень,qalRcX8xT6sSiqK3E8OQcMjfdasS_hPoNelVSV7CBQ5mgr0uUUx-hFx439Px4OmydqyK8xBc35i9Hg,331
SexyGoose,RU1,eIvR6VPsAY-Ys3aL9yQ233nkwNDxA7zISebM14NH01iUAuNuczxwcW9p03OUkmlS54Imx7vUxOhWiw,161
PISYAPOPA,HARD,ZtMomfLM-nJqS2MDWthU3pp3ctgPOLHrCS4eP0WNORvl-wOkEgBI5lQYqQrXLp3YLjMiMJZnZnN0yA,542
