match_id,game_mode,queue_id,map_id,duration,start_time,end_time,winner_team
RU_536566336,CLASSIC,420,11,1663,1758410160452,1758411823191,blue
RU_536446734,CLASSIC,420,11,1440,1758300699944,1758302140217,blue
RU_535805517,CLASSIC,420,11,2213,1757592694638,1757594907273,blue
RU_535802425,CLASSIC,420,11,2020,1757588307779,1757590327940,blue
RU_535800792,CLASSIC,420,11,1718,1757585977420,1757587695090,red
RU_535794813,CLASSIC,420,11,2219,1757580279490,1757582498354,blue
RU_535252722,CLASSIC,420,11,1775,1756980256517,1756982032026,blue
RU_535253181,CLASSIC,420,11,954,1756977816435,1756978771094,blue
RU_535250500,CLASSIC,420,11,1905,1756974613349,1756976518360,red
RU_535246980,CLASSIC,420,11,2031,1756971278140,1756973308888,blue
RU_535243812,CLASSIC,420,11,1422,1756968390454,1756969812475,blue
RU_535244263,CLASSIC,420,11,1142,1756964191117,1756965333036,blue
RU_535239758,CLASSIC,420,11,1890,1756954317980,1756956208333,blue
RU_537476250,CLASSIC,420,11,2319,1758987510788,1758989830354,red
RU_537465608,CLASSIC,420,11,1732,1758984613883,1758986345792,blue
RU_536993284,CLASSIC,440,11,1526,1758802526948,1758804053309,red
RU_536773488,CLASSIC,440,11,1469,1758652273770,1758653742611,red
RU_536769657,CLASSIC,440,11,1538,1758650176844,1758651714799,red
RU_536767052,CLASSIC,440,11,1405,1758648172586,1758649577359,red
RU_535788972,CLASSIC,420,11,346,1757563808931,1757564154756,blue
RU_535786811,CLASSIC,420,11,1489,1757558318977,1757559808035,blue
RU_535788517,CLASSIC,420,11,1794,1757553763650,1757555557897,blue
RU_535658041,CLASSIC,420,11,1184,1757415513097,1757416697239,red
RU_535534209,CLASSIC,420,11,1687,1757262549253,1757264236064,red
RU_535530104,CLASSIC,420,11,1196,1757259845195,1757261041978,blue
RU_535507348,CLASSIC,420,11,1595,1757245649424,1757247244616,blue
RU_535501938,CLASSIC,420,11,1478,1757242537265,1757244015168,red
RU_535499050,CLASSIC,420,11,1970,1757238523804,1757240494520,red
RU_535497098,CLASSIC,420,11,1682,1757236029790,1757237711873,red
RU_535493160,CLASSIC,420,11,1808,1757231984659,1757233792601,blue
RU_535487930,CLASSIC,420,11,1923,1757229287771,1757231210599,red
RU_535489245,CLASSIC,420,11,1798,1757226648690,1757228447292,red
RU_535488081,CLASSIC,420,11,1735,1757222503499,1757224239240,blue
RU_535485644,CLASSIC,420,11,1512,1757220689633,1757222202056,blue
